iter	Passed	Remaining
314	903	1965
315	906	1961
316	909	1958
317	911	1954
318	913	1950
319	916	1946
320	918	1942
321	920	1938
322	923	1936
323	925	1931
324	928	1927
325	930	1924
326	932	1920
327	935	1916
328	937	1912
329	940	1908
330	942	1905
331	944	1901
332	947	1897
333	949	1893
334	951	1889
335	954	1885
336	957	1883
337	960	1880
338	962	1877
339	965	1873
340	967	1869
341	969	1865
342	972	1861
343	974	1858
344	976	1854
345	979	1850
346	981	1846
347	983	1843
348	986	1839
349	988	1835
350	991	1832
351	993	1828
352	995	1825
353	998	1821
354	1000	1817
355	1002	1813
356	1005	1810
357	1007	1806
358	1009	1802
359	1011	1799
360	1014	1795
361	1016	1791
362	1018	1787
363	1021	1785
364	1024	1781
365	1026	1778
366	1029	1774
367	1031	1771
368	1033	1767
369	1035	1763
370	1038	1760
371	1040	1756
372	1043	1753
373	1045	1750
374	1048	1746
375	1050	1742
376	1052	1739
377	1055	1736
378	1057	1733
379	1060	1729
380	1062	1726
381	1065	1723
382	1067	1719
383	1069	1716
384	1072	1713
385	1075	1710
386	1077	1707
387	1080	1703
388	1082	1700
389	1084	1696
390	1087	1694
391	1090	1690
392	1092	1687
393	1094	1683
394	1096	1679
395	1099	1676
396	1101	1672
397	1104	1670
398	1107	1667
399	1109	1664
400	1111	1660
401	1114	1657
402	1116	1653
403	1118	1650
404	1121	1647
405	1123	1644
406	1125	1640
407	1128	1636
408	1130	1633
409	1132	1629
410	1134	1626
411	1137	1623
412	1139	1620
413	1142	1616
414	1144	1613
415	1146	1609
416	1148	1606
417	1151	1602
418	1153	1599
419	1155	1596
420	1159	1594
421	1161	1590
422	1163	1587
423	1165	1583
424	1168	1580
425	1170	1577
426	1173	1574
427	1175	1571
428	1178	1568
429	1181	1565
430	1183	1562
431	1186	1559
432	1189	1557
433	1191	1554
434	1194	1551
435	1196	1547
436	1198	1544
437	1201	1541
438	1203	1538
439	1206	1535
440	1208	1531
441	1210	1528
